"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"02-Jul-2018","    26364.45","    26371.60","    26060.60","    26230.30","      174872280","         4472.48"
"03-Jul-2018","    26210.10","    26316.10","    26142.00","    26204.10","      104588044","         2547.80"
"04-Jul-2018","    26249.25","    26480.50","    26132.90","    26433.95","       82888322","         2201.98"
"05-Jul-2018","    26481.55","    26598.45","    26415.20","    26503.30","       91431872","         2632.52"
"06-Jul-2018","    26427.55","    26609.85","    26410.00","    26493.85","      120291139","         3037.92"
"09-Jul-2018","    26642.35","    26781.20","    26611.55","    26753.30","      101833058","         2986.56"
"10-Jul-2018","    26844.55","    26939.55","    26778.50","    26894.55","      103574099","         3700.96"
"11-Jul-2018","    26900.65","    26938.85","    26774.60","    26816.20","       91728787","         2611.23"
"12-Jul-2018","    26937.50","    27164.80","    26936.05","    27026.55","      108520112","         2970.49"
"13-Jul-2018","    27046.85","    27102.35","    26902.30","    26935.95","      102571130","         2814.78"
"16-Jul-2018","    26914.50","    26939.05","    26643.95","    26679.80","      105758457","         2848.73"
"17-Jul-2018","    26662.85","    27041.35","    26653.65","    27008.10","      217931631","         3847.03"
"18-Jul-2018","    27107.35","    27187.15","    26834.45","    26880.90","      192207622","         4231.03"
"19-Jul-2018","    26960.20","    27025.45","    26730.10","    26789.65","      130746919","         3820.62"
"20-Jul-2018","    26764.40","    26946.55","    26718.60","    26873.20","       84205472","         2800.09"
"23-Jul-2018","    26701.30","    27040.10","    26671.35","    27008.15","      125717272","         3638.84"
"24-Jul-2018","    26984.15","    27128.00","    26868.15","    26974.40","      115100157","         2833.32"
"25-Jul-2018","    26992.55","    27074.00","    26939.35","    27031.30","      100793998","         3015.78"
"26-Jul-2018","    27054.70","    27455.10","    27045.05","    27406.40","      256486512","         7635.50"
"27-Jul-2018","    27497.80","    27661.05","    27455.00","    27634.40","      215768964","         5073.75"
"30-Jul-2018","    27767.65","    27873.70","    27607.95","    27842.60","      308460689","         6975.01"
"31-Jul-2018","    27797.20","    27839.20","    27651.30","    27764.15","      185189252","         5102.60"
"01-Aug-2018","    27684.80","    27820.15","    27477.90","    27596.60","      152825700","         3734.84"
"02-Aug-2018","    27469.50","    27487.90","    27327.95","    27355.95","      119103729","         3215.97"
"03-Aug-2018","    27471.95","    27723.00","    27448.15","    27695.50","      164821344","         4529.27"
"06-Aug-2018","    27769.55","    27994.00","    27766.05","    27898.50","      184016610","         5115.36"
"07-Aug-2018","    27972.95","    27988.20","    27827.30","    27875.90","      249213872","         5160.75"
"08-Aug-2018","    27930.55","    28128.65","    27858.75","    28062.45","      149989901","         3628.81"
"09-Aug-2018","    28173.65","    28363.40","    28132.00","    28320.00","      254180287","         7260.85"
"10-Aug-2018","    28348.95","    28377.90","    28087.65","    28124.25","      285470698","         7773.78"
"13-Aug-2018","    27760.80","    27911.85","    27739.50","    27794.40","      165765211","         4690.84"
"14-Aug-2018","    27864.40","    28053.05","    27854.90","    28021.70","      116466884","         3336.18"
"16-Aug-2018","    27836.15","    28013.10","    27779.50","    27826.55","      185103463","         5983.13"
"17-Aug-2018","    27991.75","    28178.15","    27953.80","    28128.55","      156310659","         4475.50"
"20-Aug-2018","    28171.65","    28322.30","    28171.65","    28274.25","      177840658","         3902.35"
"21-Aug-2018","    28295.85","    28305.95","    28151.90","    28257.90","      142439166","         3981.61"
"23-Aug-2018","    28321.95","    28325.45","    27965.35","    28027.90","      133387354","         4353.40"
"24-Aug-2018","    27954.25","    28122.75","    27782.80","    27834.70","      169952869","         4734.87"
"27-Aug-2018","    27971.25","    28317.75","    27958.20","    28264.20","      146706980","         4960.34"
"28-Aug-2018","    28379.90","    28388.65","    28152.70","    28269.65","      144026112","         4298.92"
"29-Aug-2018","    28233.40","    28344.10","    28167.80","    28224.10","      168875762","         5230.80"
"30-Aug-2018","    28233.70","    28233.70","    27961.75","    28103.25","      186360757","         6092.45"
"31-Aug-2018","    27998.00","    28157.35","    27940.95","    28061.75","      229622699","         7069.12"
"03-Sep-2018","    28199.45","    28203.20","    27777.40","    27819.50","      127011210","         3746.12"
"04-Sep-2018","    27845.55","    27875.15","    27385.85","    27430.75","      165858496","         4714.18"
"05-Sep-2018","    27409.30","    27506.30","    27136.05","    27376.05","      131880484","         3854.47"
"06-Sep-2018","    27464.25","    27552.80","    27246.25","    27468.70","      120287292","         3808.19"
"07-Sep-2018","    27439.25","    27512.50","    27232.80","    27481.45","      144905496","         4409.73"
"10-Sep-2018","    27395.20","    27404.85","    27142.55","    27201.75","      178147552","         6363.64"
"11-Sep-2018","    27295.20","    27318.45","    26772.25","    26807.50","      160826279","         5575.27"
"12-Sep-2018","    26895.15","    26895.15","    26555.15","    26819.20","      174201027","         4921.26"
"14-Sep-2018","    27059.85","    27205.75","    26989.80","    27163.85","      136633270","         4403.10"
"17-Sep-2018","    27002.60","    27002.60","    26743.40","    26820.30","      115283101","         3192.51"
"18-Sep-2018","    26757.00","    26901.05","    26407.45","    26441.45","      308575632","         6201.28"
"19-Sep-2018","    26532.00","    26611.60","    26235.70","    26277.35","      244393690","         5745.50"
"21-Sep-2018","    26331.05","    26490.40","    25053.35","    25596.90","      547285580","        14634.54"
"24-Sep-2018","    25645.05","    25649.70","    24904.50","    24970.35","      272396270","         7233.55"
"25-Sep-2018","    24947.70","    25406.95","    24678.25","    25330.35","      329548199","         8339.92"
"26-Sep-2018","    25525.10","    25525.10","    25197.35","    25376.30","      215055339","         5556.79"
"27-Sep-2018","    25442.10","    25452.50","    25007.05","    25042.15","      262822577","         6524.63"
"28-Sep-2018","    25135.80","    25354.70","    24919.25","    25119.85","      367109389","         7890.09"
"01-Oct-2018","    24943.90","    25412.15","    24707.65","    25367.00","      304703170","         8248.86"
"03-Oct-2018","    25290.55","    25470.05","    25026.35","    25069.90","      261054513","         7025.24"
"04-Oct-2018","    24735.15","    24893.40","    24501.05","    24819.30","      245813411","         6980.52"
"05-Oct-2018","    24741.65","    25080.20","    24250.65","    24443.45","      230429144","         6217.03"
"08-Oct-2018","    24470.75","    24745.35","    24240.05","    24618.35","      223867274","         5799.32"
"09-Oct-2018","    24703.65","    24759.90","    24464.90","    24527.65","      175374004","         4179.44"
"10-Oct-2018","    24596.60","    25371.15","    24559.90","    25321.70","      227005049","         5962.10"
"11-Oct-2018","    24541.75","    24940.10","    24493.70","    24783.95","      255410789","         6721.36"
"12-Oct-2018","    25001.95","    25484.20","    24975.45","    25395.85","      200602244","         5803.45"
"15-Oct-2018","    25444.00","    25466.20","    25147.80","    25388.05","      146636264","         4393.26"
"16-Oct-2018","    25414.20","    25707.05","    25351.80","    25589.65","      226063396","         5917.40"
"17-Oct-2018","    25839.10","    25915.35","    25101.95","    25188.60","      182759960","         4927.19"
"19-Oct-2018","    24966.50","    25277.90","    24922.65","    25085.80","      200900442","         5390.27"
"22-Oct-2018","    25484.25","    25504.75","    25021.35","    25078.60","      172423369","         6136.64"
"23-Oct-2018","    24786.90","    25124.60","    24784.90","    24972.45","      144911236","         5373.28"
"24-Oct-2018","    25312.70","    25356.90","    24839.65","    25064.20","      176623910","         5399.39"
"25-Oct-2018","    24841.50","    24977.35","    24696.85","    24817.45","      215033794","         6855.91"
"26-Oct-2018","    24771.85","    24771.95","    24353.10","    24421.05","      219130974","         5370.59"
"29-Oct-2018","    24647.95","    25023.75","    24404.55","    24959.70","      279844102","         8145.83"
"30-Oct-2018","    24924.75","    25121.50","    24686.85","    24807.75","      257591034","         6320.86"
"31-Oct-2018","    24823.80","    25201.30","    24528.35","    25153.25","      241789641","         6831.52"
"01-Nov-2018","    25285.20","    25401.60","    25129.45","    25323.65","      216612149","         6629.38"
"02-Nov-2018","    25545.35","    25856.25","    25499.15","    25701.65","      297782501","         7743.94"
"05-Nov-2018","    25731.55","    25788.20","    25534.40","    25732.20","      188023500","         5530.01"
"06-Nov-2018","    25747.40","    25860.75","    25558.35","    25598.00","      162090341","         5015.97"
"07-Nov-2018","    25818.10","    25824.40","    25698.10","    25737.50","       18966564","          498.12"
"09-Nov-2018","    25742.55","    25822.75","    25598.75","    25771.00","      145005871","         4275.96"
"12-Nov-2018","    25816.15","    25907.20","    25495.10","    25539.75","      115950746","         3409.51"
"13-Nov-2018","    25422.00","    25796.50","    25384.55","    25768.60","      141869413","         3960.71"
"14-Nov-2018","    25952.40","    26045.05","    25806.70","    25930.15","      194940269","         6211.45"
"15-Nov-2018","    25946.20","    26197.60","    25728.00","    26154.75","      171790148","         4842.53"
"16-Nov-2018","    26205.35","    26332.75","    26122.55","    26245.55","      235671044","         6161.73"
"19-Nov-2018","    26364.60","    26379.10","    26204.35","    26300.70","      172343045","         4593.46"
"20-Nov-2018","    26211.50","    26259.40","    26041.80","    26113.35","      189681759","         4547.93"
"21-Nov-2018","    26105.45","    26342.05","    26060.55","    26262.05","      159319280","         4105.57"
"22-Nov-2018","    26233.65","    26323.95","    25947.85","    25999.45","      153931487","         3578.29"
"26-Nov-2018","    26096.00","    26396.60","    26025.05","    26365.60","      174542785","         4851.74"
"27-Nov-2018","    26286.10","    26491.25","    26268.65","    26443.10","      176101916","         4878.41"
"28-Nov-2018","    26489.65","    26584.95","    26419.65","    26457.95","      255358541","         6055.94"
"29-Nov-2018","    26641.60","    27003.75","    26577.15","    26939.60","      472107464","        11697.23"
"30-Nov-2018","    27009.30","    27012.70","    26764.90","    26862.95","      228852954","         5768.23"
"03-Dec-2018","    27032.90","    27037.10","    26791.65","    26857.55","      205823981","         4958.19"
"04-Dec-2018","    26809.50","    26843.80","    26644.75","    26693.80","      172608502","         4095.43"
"05-Dec-2018","    26572.10","    26627.35","    26443.65","    26519.60","      144478743","         4026.28"
"06-Dec-2018","    26339.10","    26359.90","    26149.45","    26198.30","      139141747","         3758.91"
"07-Dec-2018","    26307.40","    26659.70","    26252.10","    26594.30","      185529990","         7950.15"
"10-Dec-2018","    26073.65","    26336.20","    26072.00","    26102.65","      156932519","         5857.99"
"11-Dec-2018","    25602.25","    26227.90","    25598.95","    26163.40","      264187458","         7737.87"
"12-Dec-2018","    26286.25","    26672.70","    26214.75","    26643.85","      215679380","         5612.44"
"13-Dec-2018","    26844.15","    26951.45","    26723.65","    26816.35","      236399763","         5611.02"
"14-Dec-2018","    26810.85","    26909.00","    26732.70","    26826.00","      168458080","         3706.72"
"17-Dec-2018","    26915.45","    27051.40","    26908.60","    27015.80","      118695599","         3813.30"
"18-Dec-2018","    26917.30","    27210.05","    26840.80","    27174.70","      158144343","         3755.54"
"19-Dec-2018","    27229.05","    27364.35","    27214.30","    27298.40","      215616915","         5199.28"
"20-Dec-2018","    27128.65","    27309.10","    27084.50","    27275.10","      191698257","         4427.58"
"21-Dec-2018","    27261.25","    27369.10","    26823.10","    26869.65","      177065617","         4099.45"
"24-Dec-2018","    26877.05","    26934.85","    26676.95","    26714.75","      128003648","         2772.52"
"26-Dec-2018","    26634.00","    27029.15","    26408.15","    26986.80","      148910853","         3447.39"
"27-Dec-2018","    27200.65","    27239.95","    26845.10","    26878.55","      169903194","         4347.66"
"28-Dec-2018","    27048.40","    27213.45","    27039.60","    27125.25","      109836090","         3095.11"
"31-Dec-2018","    27267.80","    27286.50","    27105.00","    27160.20","       83813951","         2374.23"
"01-Jan-2019","    27231.40","    27430.55","    27019.05","    27392.40","      116379065","         3497.39"
"02-Jan-2019","    27297.00","    27397.55","    27077.60","    27174.70","      176599164","         4422.44"
"03-Jan-2019","    27181.60","    27206.20","    26923.75","    26959.85","      151201387","         4032.83"
"04-Jan-2019","    26999.70","    27274.50","    26926.10","    27195.00","      189451222","         4440.79"
"07-Jan-2019","    27378.65","    27477.80","    27279.55","    27304.55","      161026470","         4112.84"
"08-Jan-2019","    27301.90","    27542.40","    27161.95","    27509.50","      150550286","         4359.43"
"09-Jan-2019","    27651.25","    27754.45","    27409.50","    27720.40","      199818392","         6148.74"
"10-Jan-2019","    27713.55","    27713.55","    27488.20","    27528.55","      139266179","         4308.94"
"11-Jan-2019","    27602.80","    27612.45","    27382.45","    27453.90","      116552104","         3510.63"
"14-Jan-2019","    27389.20","    27389.80","    27182.20","    27248.25","      212863498","         4859.32"
"15-Jan-2019","    27317.55","    27447.55","    27317.10","    27400.75","      161396521","         3884.40"
"16-Jan-2019","    27405.65","    27554.75","    27403.05","    27483.70","      183688179","         4155.93"
